Time,Value
2022-02-23 17:30:18.9,1.05106
2022-02-23 17:30:20.4,0.159134
2022-02-23 17:30:20.5,0.396738
2022-02-23 17:30:22.0,-0.162212
2022-02-23 17:30:22.1,0.108445
2022-02-23 17:30:22.2,1.06325
2022-02-23 17:30:22.3,0.825158
2022-02-23 17:30:22.4,1.11857
2022-02-23 17:30:22.5,0.675771
2022-02-23 17:30:22.6,-0.0306106
2022-02-23 17:30:22.7,-0.228013
2022-02-23 17:30:22.8,0.553679
2022-02-23 17:30:22.9,2.63119
2022-02-23 17:30:23.0,2.36435
2022-02-23 17:30:23.1,1.22994
2022-02-23 17:30:23.2,0.112344
2022-02-23 17:30:23.3,-0.255249
2022-02-23 17:30:23.4,-0.227049
2022-02-23 17:30:23.5,0.735233
2022-02-23 17:30:23.6,1.65056
2022-02-23 17:30:23.7,2.58343
2022-02-23 17:30:23.8,1.68589
2022-02-23 17:30:23.9,0.336302
2022-02-23 17:30:24.0,-0.0952063
2022-02-23 17:30:24.1,-0.0706214
2022-02-23 17:30:24.2,0.324848
2022-02-23 17:30:24.3,1.24042
2022-02-23 17:30:24.4,2.06021
2022-02-23 17:30:24.5,1.66104
2022-02-23 17:30:24.6,0.182285
2022-02-23 17:30:24.7,-0.122201
2022-02-23 17:30:24.8,-0.0725496
2022-02-23 17:30:24.9,0.299016
2022-02-23 17:30:25.0,0.888275
2022-02-23 17:30:25.1,1.7534
2022-02-23 17:30:25.2,2.23787
2022-02-23 17:30:25.3,0.595595
2022-02-23 17:30:25.4,0.2281
2022-02-23 17:30:25.5,-0.116417
2022-02-23 17:30:25.6,0.30389
2022-02-23 17:30:25.7,1.36324
2022-02-23 17:30:25.8,1.91448
2022-02-23 17:30:25.9,1.54942
2022-02-23 17:30:26.0,0.782023
2022-02-23 17:30:26.1,0.0177899
2022-02-23 17:30:26.2,-0.525201
2022-02-23 17:30:26.3,1.12344
2022-02-23 17:30:26.4,2.0992
2022-02-23 17:30:26.5,1.28599
2022-02-23 17:30:26.6,0.587066
2022-02-23 17:30:26.7,-0.764061
2022-02-23 17:30:26.8,0.772032
2022-02-23 17:30:26.9,2.4957
2022-02-23 17:30:27.0,1.67444
2022-02-23 17:30:27.1,0.887057
2022-02-23 17:30:27.2,0.289268
2022-02-23 17:30:27.3,-0.783343
2022-02-23 17:30:27.4,1.1929
2022-02-23 17:30:27.5,2.21009
2022-02-23 17:30:27.6,1.90961
2022-02-23 17:30:27.7,1.3396
2022-02-23 17:30:27.8,0.515663
2022-02-23 17:30:27.9,0.0555629
2022-02-23 17:30:28.0,0.410629
2022-02-23 17:30:28.1,0.927267
2022-02-23 17:30:28.2,0.942376
2022-02-23 17:30:28.3,1.12539
2022-02-23 17:30:28.4,1.12685
2022-02-23 17:30:28.5,1.02816
2022-02-23 17:30:28.6,0.00974787
2022-02-23 17:30:28.7,-0.506883
2022-02-23 17:30:28.8,1.68663
2022-02-23 17:30:28.9,2.46889
2022-02-23 17:30:29.0,1.75145
2022-02-23 17:30:29.1,0.671629
2022-02-23 17:30:29.2,-0.497242
2022-02-23 17:30:31.7,-0.328281
2022-02-23 17:30:36.3,0.507621
2022-02-23 17:30:36.4,0.515175
2022-02-23 17:30:36.5,0.186672
2022-02-23 17:30:36.6,0.148411
2022-02-23 17:30:36.7,-0.00940012
2022-02-23 17:30:36.8,0.121361
2022-02-23 17:30:36.9,0.290243
2022-02-23 17:30:37.0,0.269772
2022-02-23 17:30:37.1,0.280251
2022-02-23 17:30:37.2,0.255151
2022-02-23 17:30:37.3,0.14963
2022-02-23 17:30:37.4,0.119411
2022-02-23 17:30:37.5,0.0238823
2022-02-23 17:30:37.6,0.483007
2022-02-23 17:30:37.7,0.748637
2022-02-23 17:30:37.8,0.740838
2022-02-23 17:30:37.9,0.681864
2022-02-23 17:30:38.0,0.4311
2022-02-23 17:30:38.1,0.0945544
2022-02-23 17:30:38.2,0.198613
2022-02-23 17:30:38.3,0.299016
2022-02-23 17:30:38.4,0.286831
2022-02-23 17:30:38.5,0.457906
2022-02-23 17:30:38.6,0.17863
2022-02-23 17:30:38.7,0.0370419
2022-02-23 17:30:38.8,0.0168151
2022-02-23 17:30:38.9,-0.126058
2022-02-23 17:30:39.0,-0.00361543
2022-02-23 17:30:39.1,-0.114489
2022-02-23 17:30:39.2,0.0399663
2022-02-23 17:30:39.3,0.200806
2022-02-23 17:30:39.4,0.335814
2022-02-23 17:30:39.5,0.23931
2022-02-23 17:30:39.6,0.119411
2022-02-23 17:30:39.7,0.0236386
2022-02-23 17:30:39.8,-0.0455544
2022-02-23 17:30:39.9,0.213722
2022-02-23 17:30:40.0,0.00950418
2022-02-23 17:30:40.1,-0.2391
2022-02-23 17:30:40.2,-0.249947
2022-02-23 17:30:40.3,-0.140761
2022-02-23 17:30:40.4,-0.214033
2022-02-23 17:30:40.5,-0.157392
2022-02-23 17:30:40.6,0.0168151
2022-02-23 17:30:40.7,0.430369
2022-02-23 17:30:40.8,0.30584
2022-02-23 17:30:40.9,-0.0409749
2022-02-23 17:30:41.0,-0.1733
2022-02-23 17:30:41.1,-0.285378
2022-02-23 17:30:41.2,-0.0351902
2022-02-23 17:30:41.3,0.236386
2022-02-23 17:30:41.4,0.206899
2022-02-23 17:30:41.5,-0.0556776
2022-02-23 17:30:41.6,-0.13835
2022-02-23 17:30:41.7,-0.0911088
2022-02-23 17:30:41.8,-0.13112
2022-02-23 17:30:41.9,-0.0496519
2022-02-23 17:30:42.0,-0.236208
2022-02-23 17:30:46.9,0.676502
2022-02-23 17:30:47.0,0.252714
2022-02-23 17:30:47.1,0.0509326
2022-02-23 17:30:47.2,0.588528
2022-02-23 17:30:47.3,1.8365
2022-02-23 17:30:47.4,1.83016
2022-02-23 17:30:47.5,0.939208
2022-02-23 17:30:47.6,0.0182773
2022-02-23 17:30:47.7,-0.0954473
2022-02-23 17:30:47.8,0.0611679
2022-02-23 17:30:47.9,0.530772
2022-02-23 17:30:48.0,1.06203
2022-02-23 17:30:48.1,1.81359
2022-02-23 17:30:48.2,1.70222
2022-02-23 17:30:48.3,0.994283
2022-02-23 17:30:48.4,0.436461
2022-02-23 17:30:48.5,0.22542
2022-02-23 17:30:48.6,1.12149
2022-02-23 17:30:48.7,1.71563
2022-02-23 17:30:48.8,1.38225
2022-02-23 17:30:48.9,0.664561
2022-02-23 17:30:49.0,0.0633612
2022-02-23 17:30:49.1,0.0143781
2022-02-23 17:30:49.2,0.503478
2022-02-23 17:30:49.3,0.920443
2022-02-23 17:30:49.4,1.5019
2022-02-23 17:30:49.5,1.75973
2022-02-23 17:30:49.6,1.06569
2022-02-23 17:30:49.7,0.324604
2022-02-23 17:30:49.8,0.27684
2022-02-23 17:30:49.9,1.22263
2022-02-23 17:30:50.0,1.8131
2022-02-23 17:30:50.1,1.35227
2022-02-23 17:30:50.2,0.547343
2022-02-23 17:30:50.3,-0.033503
2022-02-23 17:30:50.4,0.032168
2022-02-23 17:30:50.5,0.465217
2022-02-23 17:30:50.6,1.01963
2022-02-23 17:30:50.7,1.52895
2022-02-23 17:30:50.8,1.41125
2022-02-23 17:30:50.9,0.926048
2022-02-23 17:30:51.0,0.636049
2022-02-23 17:30:51.1,0.716956
2022-02-23 17:30:51.2,1.63326
2022-02-23 17:30:51.3,1.6084
2022-02-23 17:30:51.4,0.749368
2022-02-23 17:30:51.5,0.0918737
2022-02-23 17:30:51.6,-0.211382
2022-02-23 17:30:51.7,-0.0696573
2022-02-23 17:30:51.8,0.404537
2022-02-23 17:30:51.9,0.988434
2022-02-23 17:30:52.0,1.84552
2022-02-23 17:30:52.1,1.69442
2022-02-23 17:30:52.2,1.58062
2022-02-23 17:30:52.3,0.877309
2022-02-23 17:30:52.4,0.279033
2022-02-23 17:30:52.5,-0.0573648
2022-02-23 17:30:52.6,-0.213792
2022-02-23 17:30:52.7,-0.169684
2022-02-23 17:30:52.8,0.464974
2022-02-23 17:30:52.9,1.28063
2022-02-23 17:30:53.0,1.26917
2022-02-23 17:30:53.1,0.888762
2022-02-23 17:30:53.2,0.671872
2022-02-23 17:30:53.3,0.727191
2022-02-23 17:30:53.4,0.964796
2022-02-23 17:30:53.5,0.894367
2022-02-23 17:30:53.6,1.02596
2022-02-23 17:30:53.7,0.754485
2022-02-23 17:30:53.8,-0.161971
2022-02-23 17:30:53.9,-0.223675
2022-02-23 17:30:54.0,-0.298634
2022-02-23 17:30:54.1,0.206655
2022-02-23 17:30:54.2,0.81809
2022-02-23 17:30:54.3,1.55893
2022-02-23 17:30:54.4,1.14489
2022-02-23 17:30:54.5,1.23798
2022-02-23 17:30:54.6,0.986972
2022-02-23 17:30:54.7,-0.203187
2022-02-23 17:30:54.8,-0.109186
2022-02-23 17:30:54.9,0.298285
2022-02-23 17:30:55.0,1.63131
2022-02-23 17:30:55.1,1.29647
2022-02-23 17:30:55.2,1.22823
2022-02-23 17:30:55.3,0.237848
2022-02-23 17:30:55.4,-0.359374
2022-02-23 17:30:55.5,-0.359374
2022-02-23 17:30:55.6,0.0645797
2022-02-23 17:30:55.7,0.830275
2022-02-23 17:30:55.8,1421
2022-02-23 17:30:55.9,1.20679
2022-02-23 17:30:56.0,1.07275
2022-02-23 17:30:56.1,0.615335
2022-02-23 17:30:56.2,0.318512
2022-02-23 17:30:56.3,0.77788
2022-02-23 17:30:56.4,1.31279
2022-02-23 17:30:56.5,1.45365
2022-02-23 17:30:56.6,1.11101
2022-02-23 17:30:56.7,0.310957
2022-02-23 17:30:56.8,0.164739
2022-02-23 17:30:56.9,-0.0665239
2022-02-23 17:30:57.0,-0.0142207
2022-02-23 17:30:57.1,0.901435
2022-02-23 17:30:57.2,1.4556
2022-02-23 17:30:57.3,1.2431
2022-02-23 17:30:57.4,0.962846
2022-02-23 17:30:57.5,0.859275
2022-02-23 17:30:57.6,0.831006
2022-02-23 17:30:57.7,1353
2022-02-23 17:30:57.8,1.45511
2022-02-23 17:30:57.9,0.816872
2022-02-23 17:30:58.0,0.369932
2022-02-23 17:30:58.1,0.285125
